,Participant_ID,Condition_Name,Starting_Plateau_Idx,Cycle_Idx,Decline_First_Selection
353,1,Bergmann Colored vs. Gray,1,9,0.0
354,1,Bergmann Colored vs. Gray,1,10,1.0
355,1,Bergmann Colored vs. Gray,1,11,0.0
356,1,Bergmann Colored vs. Gray,1,12,1.0
357,1,Bergmann Colored vs. Gray,1,13,1.0
358,1,Bergmann Colored vs. Gray,1,14,1.0
359,1,Bergmann Colored vs. Gray,1,15,0.0
360,1,Bergmann Colored vs. Gray,1,17,1.0
361,1,Bergmann Colored vs. Gray,1,18,1.0
362,1,Bergmann Colored vs. Gray,1,19,1.0
363,1,Bergmann Colored vs. Gray,1,20,1.0
364,1,Bergmann Colored vs. Gray,1,21,1.0
365,1,Bergmann Colored vs. Gray,1,22,1.0
366,1,Bergmann Colored vs. Gray,1,23,0.0
367,1,Bergmann Colored vs. Gray,1,24,0.0
368,1,Bergmann Colored vs. Gray,1,25,0.0
369,1,Bergmann Colored vs. Gray,1,26,0.0
370,1,Bergmann Colored vs. Gray,1,27,0.0
371,1,Bergmann Colored vs. Gray,1,28,0.0
372,1,Bergmann Colored vs. Gray,1,29,1.0
373,1,Bergmann Colored vs. Gray,1,30,0.0
374,1,Bergmann Colored vs. Gray,1,31,0.0
375,1,Bergmann Colored vs. Gray,1,0,1.0
376,1,Bergmann Colored vs. Gray,1,1,1.0
377,1,Bergmann Colored vs. Gray,1,2,0.0
378,1,Bergmann Colored vs. Gray,1,4,0.0
379,1,Bergmann Colored vs. Gray,1,5,0.0
380,1,Bergmann Colored vs. Gray,1,6,1.0
381,1,Bergmann Colored vs. Gray,1,7,1.0
382,1,Bergmann Colored vs. Gray,1,8,0.0
383,1,Bergmann Colored vs. Gray,1,9,0.0
384,1,Bergmann Colored vs. Gray,1,10,1.0
385,1,Bergmann Colored vs. Gray,1,11,1.0
386,1,Bergmann Colored vs. Gray,1,12,0.0
387,1,Bergmann Colored vs. Gray,1,13,0.0
388,1,Bergmann Colored vs. Gray,1,14,1.0
389,1,Bergmann Colored vs. Gray,1,15,1.0
390,1,Bergmann Colored vs. Gray,1,16,1.0
391,1,Bergmann Colored vs. Gray,1,17,1.0
392,1,Bergmann Colored vs. Gray,1,18,0.0
393,1,Bergmann Colored vs. Gray,1,19,0.0
394,1,Bergmann Colored vs. Gray,1,20,0.0
395,1,Bergmann Colored vs. Gray,1,21,1.0
396,1,Bergmann Colored vs. Gray,1,22,1.0
397,1,Bergmann Colored vs. Gray,1,23,1.0
398,1,Bergmann Colored vs. Gray,1,24,0.0
399,1,Bergmann Colored vs. Gray,1,25,1.0
400,1,Bergmann Colored vs. Gray,1,26,1.0
401,1,Bergmann Colored vs. Gray,1,27,0.0
402,1,Bergmann Colored vs. Gray,1,28,0.0
403,1,Bergmann Colored vs. Gray,1,29,1.0
404,1,Bergmann Colored vs. Gray,1,30,1.0
405,1,Bergmann Colored vs. Gray,1,31,0.0
406,1,Bergmann Colored vs. Gray,1,0,1.0
407,1,Bergmann Colored vs. Gray,1,1,1.0
408,1,Bergmann Colored vs. Gray,1,2,0.0
409,1,Bergmann Colored vs. Gray,1,3,1.0
410,1,Bergmann Colored vs. Gray,1,5,1.0
411,1,Bergmann Colored vs. Gray,1,6,1.0
412,1,Bergmann Colored vs. Gray,1,7,0.0
413,1,Bergmann Colored vs. Gray,1,8,0.0
414,1,Bergmann Colored vs. Gray,1,10,1.0
415,1,Bergmann Colored vs. Gray,1,11,1.0
416,1,Bergmann Colored vs. Gray,1,12,1.0
417,1,Bergmann Colored vs. Gray,1,13,0.0
418,1,Bergmann Colored vs. Gray,1,14,0.0
419,1,Bergmann Colored vs. Gray,1,15,0.0
420,1,Bergmann Colored vs. Gray,1,16,0.0
421,1,Bergmann Colored vs. Gray,1,17,1.0
422,1,Bergmann Colored vs. Gray,1,19,1.0
423,1,Bergmann Colored vs. Gray,1,20,1.0
424,1,Bergmann Colored vs. Gray,1,21,0.0
425,1,Bergmann Colored vs. Gray,1,22,1.0
426,1,Bergmann Colored vs. Gray,1,23,1.0
427,1,Bergmann Colored vs. Gray,1,24,1.0
428,1,Bergmann Colored vs. Gray,1,25,1.0
429,1,Bergmann Colored vs. Gray,1,26,0.0
430,1,Bergmann Colored vs. Gray,1,27,1.0
431,1,Bergmann Colored vs. Gray,1,28,1.0
432,1,Bergmann Colored vs. Gray,1,29,1.0
433,1,Bergmann Colored vs. Gray,1,30,0.0
434,1,Bergmann Colored vs. Gray,1,1,1.0
435,1,Bergmann Colored vs. Gray,1,2,1.0
436,1,Bergmann Colored vs. Gray,1,3,0.0
437,1,Bergmann Colored vs. Gray,1,4,1.0
438,1,Bergmann Colored vs. Gray,1,5,0.0
439,1,Bergmann Colored vs. Gray,1,6,1.0
440,1,Bergmann Colored vs. Gray,1,7,1.0
441,1,Bergmann Colored vs. Gray,1,8,1.0
442,1,Bergmann Colored vs. Gray,1,9,1.0
443,1,Bergmann Colored vs. Gray,1,10,1.0
444,1,Bergmann Colored vs. Gray,1,11,1.0
445,1,Bergmann Colored vs. Gray,1,12,1.0
446,1,Bergmann Colored vs. Gray,1,13,1.0
447,1,Bergmann Colored vs. Gray,1,14,1.0
448,1,Bergmann Colored vs. Gray,1,15,1.0
449,1,Bergmann Colored vs. Gray,1,16,0.0
450,1,Bergmann Colored vs. Gray,1,17,0.0
451,1,Bergmann Colored vs. Gray,1,18,1.0
452,1,Bergmann Colored vs. Gray,1,19,1.0
453,1,Bergmann Colored vs. Gray,1,20,1.0
454,1,Bergmann Colored vs. Gray,1,21,1.0
455,1,Bergmann Colored vs. Gray,1,22,1.0
456,1,Bergmann Colored vs. Gray,1,23,0.0
457,1,Bergmann Colored vs. Gray,1,24,1.0
458,1,Bergmann Colored vs. Gray,1,25,1.0
459,1,Bergmann Colored vs. Gray,1,26,0.0
460,1,Bergmann Colored vs. Gray,1,27,1.0
461,1,Bergmann Colored vs. Gray,1,28,1.0
462,1,Bergmann Colored vs. Gray,1,29,1.0
463,1,Bergmann Colored vs. Gray,1,30,1.0
464,1,Bergmann Colored vs. Gray,1,31,0.0
