,Participant_ID,Starting_Plateau_Idx,Block,Cycle_Idx,Stages,Directions,Phase,Pentagon_selected,Star_selected,Response,Response_time,Correctness,Condition_Name,Selection
227,56,1,3,29,T11,pentagon_to_star,pentagon_to_star_trans,0,0,1,1077,0,Online,0
228,56,1,3,30,T12,pentagon_to_star,pentagon_to_star_trans,0,0,4,948,0,Online,0
229,56,1,3,31,T13,pentagon_to_star,pentagon_to_star_trans,1,0,2,1607,1,Online,1
230,56,1,3,32,P1,star_to_pentagon,star_plateau,0,1,3,1802,1,Online,0
231,56,1,3,33,P2,star_to_pentagon,star_plateau,0,0,3,883,0,Online,0
232,56,1,3,34,P3,star_to_pentagon,star_plateau,0,0,2,1618,0,Online,0
233,56,1,3,35,T1,star_to_pentagon,star_to_pentagon_trans,0,0,1,1587,0,Online,0
234,56,1,3,36,T2,star_to_pentagon,star_to_pentagon_trans,1,0,3,1910,1,Online,1
235,56,1,3,37,T3,star_to_pentagon,star_to_pentagon_trans,0,1,3,2188,1,Online,0
236,56,1,3,38,T4,star_to_pentagon,star_to_pentagon_trans,0,1,4,2231,1,Online,0
237,56,1,3,39,T5,star_to_pentagon,star_to_pentagon_trans,0,1,2,1983,1,Online,0
238,56,1,3,40,T6,star_to_pentagon,star_to_pentagon_trans,0,1,3,3393,1,Online,0
239,56,1,3,41,T7,star_to_pentagon,star_to_pentagon_trans,0,0,2,2123,0,Online,0
240,56,1,3,42,T8,star_to_pentagon,star_to_pentagon_trans,0,1,1,3048,1,Online,0
241,56,1,3,43,T9,star_to_pentagon,star_to_pentagon_trans,0,0,3,2593,0,Online,0
242,56,1,3,44,T10,star_to_pentagon,star_to_pentagon_trans,0,1,4,1403,1,Online,0
243,56,1,3,45,T11,star_to_pentagon,star_to_pentagon_trans,0,0,4,1733,0,Online,0
244,56,1,3,46,T12,star_to_pentagon,star_to_pentagon_trans,0,0,2,1843,0,Online,0
245,56,1,3,47,T13,star_to_pentagon,star_to_pentagon_trans,0,0,1,1290,0,Online,0
246,56,1,3,48,P1,pentagon_to_star,pentagon_plateau,0,0,3,1369,0,Online,0
247,56,1,3,49,P2,pentagon_to_star,pentagon_plateau,0,0,4,1269,0,Online,0
248,56,1,3,50,P3,pentagon_to_star,pentagon_plateau,1,0,3,1068,1,Online,1
249,56,1,3,51,T1,pentagon_to_star,pentagon_to_star_trans,0,0,4,1723,0,Online,0
250,56,1,3,52,T2,pentagon_to_star,pentagon_to_star_trans,0,0,3,1167,0,Online,0
