,optimal_selected_optimal_first_fixation,optimal_selected_nonoptimal_first_fixation,nonoptimal_selected_nonoptimal_first_fixation,nonoptimal_selected_optimal_first_fixation,optimal_selected_optimal_last_fixation,optimal_selected_nonoptimal_last_fixation,nonoptimal_selected_nonoptimal_last_fixation,nonoptimal_selected_optimal_last_fixation,optimal_selected_optimal_total_fixation,optimal_selected_nonoptimal_total_fixation,nonoptimal_selected_nonoptimal_total_fixation,nonoptimal_selected_optimal_total_fixation
39,0.41025641025641024,0.5897435897435898,0.6666666666666666,0.3333333333333333,0.6153846153846154,0.38461538461538464,0.7777777777777778,0.2222222222222222,2.1538461538461537,1.4102564102564104,2.4444444444444446,1.0740740740740742
40,0.574468085106383,0.40425531914893614,0.7608695652173914,0.2391304347826087,0.574468085106383,0.425531914893617,0.717391304347826,0.2826086956521739,2.3617021276595747,1.1702127659574468,2.5652173913043477,0.717391304347826
41,0.64,0.36,0.6511627906976745,0.3488372093023256,0.6,0.4,0.5581395348837209,0.4418604651162791,1.78,1.24,1.8372093023255813,1.069767441860465
42,0.36363636363636365,0.6363636363636364,0.5833333333333334,0.4166666666666667,0.7272727272727273,0.2727272727272727,0.7666666666666667,0.23333333333333334,2.4545454545454546,2.0,2.9,1.1
43,0.39285714285714285,0.6071428571428571,0.4864864864864865,0.5135135135135135,0.6607142857142857,0.3392857142857143,0.6216216216216216,0.3783783783783784,2.625,1.3571428571428572,2.4054054054054053,1.2972972972972974
44,0.5333333333333333,0.4222222222222222,0.7083333333333334,0.2708333333333333,0.6222222222222222,0.37777777777777777,0.6875,0.3125,1.8888888888888888,0.9333333333333333,1.9375,0.7083333333333334
45,0.42857142857142855,0.5714285714285714,0.6724137931034483,0.3275862068965517,0.7142857142857143,0.2857142857142857,0.7413793103448276,0.25862068965517243,2.4285714285714284,1.7714285714285714,2.4827586206896552,1.0172413793103448
46,0.3055555555555556,0.6944444444444444,0.6491228070175439,0.3508771929824561,0.4444444444444444,0.5555555555555556,0.5263157894736842,0.47368421052631576,2.7222222222222223,2.861111111111111,3.0350877192982457,1.5614035087719298
47,0.47058823529411764,0.5294117647058824,0.7457627118644068,0.2542372881355932,0.47058823529411764,0.5294117647058824,0.6949152542372882,0.3050847457627119,1.9705882352941178,1.6470588235294117,2.23728813559322,0.8135593220338984
48,0.34146341463414637,0.6585365853658537,0.6538461538461539,0.34615384615384615,0.6341463414634146,0.36585365853658536,0.7307692307692307,0.2692307692307692,2.0,1.4390243902439024,2.6923076923076925,0.8076923076923077
49,0.5434782608695652,0.45652173913043476,0.6595744680851063,0.3404255319148936,0.45652173913043476,0.5434782608695652,0.574468085106383,0.425531914893617,2.5217391304347827,1.6521739130434783,2.8085106382978724,1.2553191489361701
50,0.42857142857142855,0.5714285714285714,0.45454545454545453,0.5454545454545454,0.6938775510204082,0.30612244897959184,0.5909090909090909,0.4090909090909091,2.4285714285714284,1.183673469387755,2.3181818181818183,1.5454545454545454
51,0.3888888888888889,0.6111111111111112,0.6153846153846154,0.38461538461538464,0.5555555555555556,0.4444444444444444,0.6923076923076923,0.3076923076923077,2.2962962962962963,1.3888888888888888,2.2564102564102564,1.0256410256410255
